Time,I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
1375,-0.065,-0.035,0.03,0.05,-0.047,-0.002,0.02,0.01,-0.005,-0.035,-0.025,-0.015
1376,-0.023,-0.031,-0.007,0.028,-0.008,-0.019,0.02,0.006,-0.005,-0.031,-0.029,-0.015
1377,-0.019,-0.03,-0.011,0.025,-0.004,-0.021,0.021,0.005,-0.008,-0.03,-0.03,-0.018
1378,-0.036,-0.028,0.008,0.032,-0.022,-0.01,0.018,0.005,-0.01,-0.03,-0.032,-0.021
1379,-0.042,-0.025,0.017,0.033,-0.029,-0.004,0.015,0.006,-0.011,-0.03,-0.035,-0.02
1380,-0.055,-0.025,0.03,0.04,-0.042,0.002,0.015,0.01,-0.015,-0.03,-0.035,-0.02
1381,-0.064,-0.021,0.044,0.042,-0.054,0.011,0.015,0.01,-0.015,-0.03,-0.035,-0.024
1382,-0.063,-0.02,0.043,0.041,-0.053,0.011,0.016,0.009,-0.015,-0.027,-0.035,-0.025
1383,-0.058,-0.018,0.04,0.038,-0.048,0.011,0.013,0.012,-0.015,-0.024,-0.035,-0.025
1384,-0.054,-0.015,0.039,0.034,-0.046,0.012,0.01,0.015,-0.015,-0.025,-0.035,-0.024
1385,-0.05,-0.015,0.035,0.032,-0.042,0.01,0.01,0.015,-0.015,-0.025,-0.035,-0.02
1386,-0.042,-0.007,0.035,0.024,-0.038,0.014,0.01,0.015,-0.015,-0.025,-0.035,-0.02
1387,-0.037,-0.001,0.036,0.019,-0.036,0.017,0.011,0.018,-0.015,-0.022,-0.035,-0.02
1388,-0.031,0.002,0.033,0.015,-0.033,0.017,0.008,0.021,-0.015,-0.019,-0.035,-0.02
1389,-0.023,0.006,0.03,0.008,-0.027,0.018,0.005,0.02,-0.015,-0.02,-0.035,-0.02
1390,-0.02,0.01,0.03,0.005,-0.025,0.02,0.005,0.02,-0.015,-0.02,-0.035,-0.02
1391,-0.025,0.006,0.03,0.009,-0.028,0.018,0.005,0.02,-0.015,-0.02,-0.035,-0.02
1392,-0.022,0.005,0.027,0.008,-0.025,0.016,0.005,0.02,-0.015,-0.019,-0.038,-0.017
1393,-0.021,0.003,0.024,0.008,-0.023,0.014,0.005,0.02,-0.015,-0.022,-0.041,-0.014
1394,-0.026,0,0.025,0.012,-0.025,0.012,0.004,0.02,-0.015,-0.025,-0.04,-0.015
1395,-0.025,0,0.025,0.012,-0.025,0.012,0,0.02,-0.015,-0.025,-0.04,-0.015
1396,-0.025,-0.004,0.021,0.015,-0.022,0.008,0,0.02,-0.015,-0.025,-0.04,-0.015
1397,-0.025,-0.005,0.02,0.015,-0.022,0.007,0,0.02,-0.015,-0.025,-0.04,-0.015
1398,-0.026,-0.007,0.02,0.017,-0.023,0.006,0,0.02,-0.015,-0.025,-0.04,-0.015
1399,-0.031,-0.01,0.021,0.021,-0.026,0.005,-0.001,0.02,-0.015,-0.026,-0.04,-0.014
1400,-0.035,-0.01,0.025,0.022,-0.03,0.007,-0.005,0.02,-0.015,-0.03,-0.04,-0.01
1401,-0.035,-0.014,0.021,0.025,-0.028,0.003,-0.005,0.02,-0.015,-0.03,-0.04,-0.01
1402,-0.035,-0.014,0.02,0.025,-0.027,0.002,-0.005,0.02,-0.012,-0.03,-0.04,-0.01
1403,-0.037,-0.019,0.017,0.028,-0.027,-0.001,-0.005,0.02,-0.01,-0.03,-0.04,-0.01
1404,-0.05,-0.034,0.017,0.041,-0.033,-0.008,-0.005,0.02,-0.009,-0.03,-0.04,-0.01
1405,-0.055,-0.04,0.015,0.047,-0.035,-0.012,-0.005,0.02,-0.005,-0.03,-0.04,-0.01
1406,-0.004,-0.028,-0.024,0.016,0.011,-0.026,-0.001,0.02,-0.005,-0.026,-0.036,-0.01
1407,0,-0.018,-0.019,0.009,0.01,-0.018,0.004,0.02,-0.006,-0.024,-0.031,-0.007
1408,-0.027,-0.011,0.016,0.019,-0.021,0.003,0.005,0.02,-0.003,-0.026,-0.03,-0.004
1409,-0.026,-0.003,0.023,0.014,-0.024,0.01,0.006,0.02,0,-0.024,-0.029,-0.005
1410,-0.01,0.005,0.015,0.002,-0.013,0.01,0.01,0.02,0,-0.02,-0.025,-0.005
1411,-0.035,0.013,0.048,0.011,-0.042,0.031,0.014,0.02,0,-0.02,-0.02,-0.001
1412,-0.034,0.022,0.056,0.006,-0.045,0.038,0.015,0.02,0.003,-0.02,-0.02,0.001
1413,-0.022,0.026,0.048,-0.002,-0.036,0.036,0.016,0.02,0.006,-0.02,-0.018,-0.001
1414,-0.026,0.025,0.051,0,-0.039,0.037,0.021,0.02,0.005,-0.019,-0.015,0.001
1415,-0.025,0.025,0.05,0,-0.038,0.037,0.025,0.02,0.005,-0.015,-0.015,0.005
1416,-0.021,0.025,0.046,-0.002,-0.034,0.035,0.025,0.02,0.009,-0.015,-0.015,0.005
1417,-0.018,0.026,0.044,-0.005,-0.032,0.036,0.028,0.02,0.011,-0.016,-0.015,0.004
1418,-0.025,0.02,0.046,0.002,-0.036,0.033,0.032,0.02,0.009,-0.013,-0.015,0.007
1419,-0.02,0.025,0.044,-0.003,-0.032,0.034,0.036,0.02,0.011,-0.01,-0.015,0.01
1420,0.01,0.05,0.04,-0.03,-0.015,0.045,0.035,0.02,0.015,-0.01,-0.015,0.01
1421,0.008,0.048,0.04,-0.028,-0.016,0.043,0.031,0.02,0.015,-0.01,-0.015,0.01
1422,0,0.04,0.04,-0.02,-0.02,0.04,0.029,0.021,0.018,-0.011,-0.012,0.013
1423,0.017,0.058,0.04,-0.038,-0.012,0.048,0.031,0.033,0.02,-0.008,-0.009,0.016
1424,0.036,0.076,0.04,-0.056,-0.002,0.057,0.029,0.047,0.021,-0.005,-0.01,0.015
1425,0.03,0.065,0.035,-0.048,-0.003,0.05,0.025,0.05,0.025,-0.005,-0.01,0.015
1426,0.029,0.06,0.031,-0.045,-0.001,0.045,0.025,0.05,0.025,-0.001,-0.01,0.019
1427,-0.003,0.057,0.06,-0.028,-0.032,0.059,0.025,0.05,0.028,0,-0.01,0.021
1428,-0.025,0.053,0.078,-0.014,-0.052,0.065,0.025,0.05,0.03,0.002,-0.01,0.019
1429,-0.019,0.049,0.068,-0.015,-0.043,0.059,0.024,0.05,0.031,0.005,-0.01,0.022
1430,-0.02,0.045,0.065,-0.013,-0.043,0.055,0.02,0.05,0.035,0.005,-0.01,0.03
1431,-0.021,0.04,0.061,-0.009,-0.041,0.05,0.02,0.05,0.035,0.013,-0.002,0.034
1432,-0.011,0.046,0.057,-0.018,-0.034,0.051,0.02,0.05,0.035,0.021,0.004,0.039
1433,-0.001,0.051,0.053,-0.025,-0.027,0.051,0.02,0.05,0.033,0.029,0.007,0.039
1434,0.009,0.059,0.05,-0.034,-0.021,0.054,0.019,0.05,0.038,0.037,0.011,0.043
1435,0.035,0.085,0.05,-0.06,-0.008,0.067,0.015,0.05,0.055,0.04,0.015,0.055
1436,0.07,0.116,0.046,-0.094,0.012,0.081,0.015,0.05,0.052,0.032,0.019,0.051
1437,0.075,0.117,0.042,-0.096,0.017,0.079,0.016,0.05,0.049,0.026,0.024,0.05
1438,0.067,0.105,0.038,-0.086,0.014,0.071,0.013,0.05,0.05,0.024,0.024,0.049
1439,0.064,0.098,0.034,-0.082,0.015,0.066,0.01,0.05,0.05,0.018,0.018,0.044
1440,0.06,0.09,0.03,-0.075,0.015,0.06,0.01,0.05,0.05,0.015,0.015,0.045
1441,0.056,0.082,0.026,-0.069,0.015,0.053,0.01,0.05,0.05,0.027,0.023,0.062
1442,0.05,0.075,0.025,-0.063,0.012,0.049,0.011,0.047,0.05,0.037,0.031,0.067
1443,0.041,0.064,0.023,-0.052,0.008,0.043,0.008,0.045,0.05,0.043,0.039,0.063
1444,0.052,0.072,0.02,-0.062,0.016,0.045,0.005,0.044,0.05,0.053,0.048,0.067
1445,0.095,0.115,0.02,-0.105,0.037,0.067,0.005,0.04,0.05,0.06,0.055,0.08
1446,0.126,0.146,0.02,-0.136,0.053,0.083,0.005,0.04,0.05,0.056,0.051,0.085
1447,0.135,0.155,0.02,-0.145,0.057,0.087,0.006,0.037,0.05,0.054,0.049,0.085
1448,0.135,0.155,0.02,-0.145,0.057,0.087,0.002,0.034,0.05,0.056,0.05,0.085
1449,0.135,0.155,0.02,-0.145,0.057,0.087,-0.008,0.035,0.05,0.054,0.05,0.085
1450,0.135,0.155,0.02,-0.145,0.057,0.087,-0.015,0.035,0.05,0.05,0.05,0.085
1451,0.138,0.159,0.02,-0.149,0.058,0.089,-0.011,0.031,0.05,0.05,0.05,0.085
1452,0.107,0.124,0.017,-0.116,0.045,0.07,-0.007,0.03,0.051,0.051,0.051,0.086
1453,0.051,0.066,0.014,-0.059,0.018,0.04,-0.003,0.028,0.046,0.047,0.045,0.082
1454,0.015,0.031,0.015,-0.023,0,0.023,0.001,0.025,0.039,0.038,0.032,0.073
1455,0.015,0.03,0.015,-0.023,0,0.022,0.005,0.025,0.035,0.03,0.025,0.065
1456,0.011,0.026,0.015,-0.019,-0.002,0.021,0.009,0.021,0.027,0.022,0.017,0.057
1457,0.007,0.022,0.015,-0.015,-0.004,0.018,0.014,0.019,0.022,0.014,0.009,0.049
1458,0.003,0.018,0.016,-0.011,-0.007,0.017,0.012,0.021,0.016,0.005,0.001,0.041
1459,0,0.014,0.014,-0.007,-0.008,0.014,0.004,0.019,0.009,-0.001,-0.007,0.034
1460,-0.005,0.01,0.015,-0.003,-0.01,0.012,0,0.015,0.005,-0.005,-0.015,0.03
1461,-0.026,0.007,0.032,0.009,-0.03,0.02,-0.008,0.015,-0.014,-0.02,-0.031,0.026
1462,-0.036,-0.005,0.031,0.02,-0.034,0.013,-0.014,0.015,-0.035,-0.04,-0.046,0.024
1463,-0.047,-0.025,0.022,0.036,-0.034,-0.002,-0.013,0.015,-0.04,-0.045,-0.049,0.026
1464,-0.046,-0.026,0.019,0.036,-0.033,-0.004,-0.009,0.015,-0.034,-0.039,-0.044,0.024
1465,-0.01,0.005,0.015,0.002,-0.013,0.01,-0.01,0.015,-0.035,-0.04,-0.045,0.02
1466,0.021,0.032,0.011,-0.027,0.005,0.021,-0.01,0.015,-0.036,-0.041,-0.045,0.02
1467,0.026,0.033,0.007,-0.03,0.009,0.02,-0.007,0.012,-0.032,-0.037,-0.045,0.02
1468,0.028,0.029,0.002,-0.029,0.013,0.015,-0.004,0.009,-0.029,-0.035,-0.045,0.02
1469,0.028,0.029,0.001,-0.029,0.013,0.016,-0.005,0.01,-0.03,-0.035,-0.045,0.019
1470,0.01,0.025,0.015,-0.018,-0.003,0.02,-0.005,0.01,-0.03,-0.035,-0.045,0.015
1471,-0.004,0.025,0.029,-0.01,-0.017,0.026,-0.001,0.01,-0.026,-0.036,-0.041,0.015
1472,-0.002,0.026,0.028,-0.012,-0.015,0.027,0.001,0.01,-0.024,-0.032,-0.04,0.016
1473,-0.002,0.023,0.025,-0.011,-0.013,0.024,-0.001,0.01,-0.026,-0.047,-0.04,0.013
1474,-0.005,0.02,0.024,-0.008,-0.014,0.022,0.001,0.009,-0.024,-0.067,-0.04,0.01
1475,0,0.02,0.02,-0.01,-0.01,0.02,0.005,0.005,-0.02,-0.06,-0.04,0.01
1476,-0.004,0.016,0.02,-0.006,-0.012,0.017,0.005,0.005,-0.02,-0.055,-0.04,0.01
1477,-0.006,0.014,0.021,-0.004,-0.014,0.017,0.004,0.005,-0.021,-0.055,-0.041,0.011
1478,-0.002,0.016,0.018,-0.007,-0.01,0.017,0.007,0.005,-0.018,-0.053,-0.038,0.008
1479,-0.001,0.013,0.015,-0.007,-0.009,0.014,0.01,0.005,-0.015,-0.05,-0.035,0.005
1480,-0.01,0.005,0.015,0.002,-0.013,0.01,0.01,0.005,-0.015,-0.05,-0.035,0.005
1481,-0.01,0.001,0.011,0.005,-0.011,0.006,0.01,0.004,-0.015,-0.046,-0.035,0.005
1482,-0.012,-0.002,0.009,0.007,-0.01,0.003,0.013,0.01,-0.012,-0.041,-0.035,0.006
1483,-0.02,-0.009,0.011,0.014,-0.015,0.001,0.016,0.019,-0.009,-0.04,-0.035,0.002
1484,-0.025,-0.017,0.009,0.021,-0.017,-0.004,0.014,0.027,-0.011,-0.039,-0.035,-0.007
1485,-0.02,-0.02,0,0.02,-0.01,-0.01,0.015,0.035,-0.01,-0.035,-0.035,-0.015
1486,-0.013,-0.022,-0.008,0.018,-0.002,-0.015,0.035,0.041,0.006,-0.033,-0.036,-0.023
1487,-0.028,-0.043,-0.015,0.035,-0.006,-0.029,0.045,0.063,0.019,-0.043,-0.06,-0.033
1488,-0.018,-0.044,-0.026,0.031,0.004,-0.036,0.045,0.085,0.032,-0.039,-0.068,-0.032
1489,-0.002,-0.02,-0.018,0.011,0.009,-0.019,0.054,0.116,0.041,-0.022,-0.052,-0.023
1490,-0.03,0,0.03,0.015,-0.03,0.015,0.085,0.18,0.055,-0.005,-0.04,-0.015
1491,-0.037,0.035,0.072,0.001,-0.055,0.053,0.12,0.25,0.118,0.05,-0.001,0.009
1492,-0.024,0.074,0.098,-0.025,-0.061,0.086,0.123,0.301,0.178,0.103,0.039,0.032
1493,0.013,0.104,0.091,-0.058,-0.039,0.097,0.122,0.355,0.251,0.164,0.086,0.063
1494,0.087,0.152,0.064,-0.12,0.011,0.108,0.114,0.411,0.332,0.237,0.144,0.105
1495,0.175,0.215,0.04,-0.195,0.067,0.127,0.075,0.425,0.385,0.3,0.2,0.14
1496,0.225,0.216,-0.008,-0.221,0.116,0.104,0.04,0.386,0.437,0.364,0.255,0.174
1497,0.312,0.262,-0.049,-0.287,0.181,0.106,-0.01,0.346,0.483,0.429,0.318,0.227
1498,0.443,0.331,-0.112,-0.387,0.278,0.109,-0.084,0.295,0.496,0.487,0.395,0.294
1499,0.54,0.375,-0.165,-0.457,0.352,0.104,-0.156,0.211,0.491,0.53,0.464,0.361
1500,0.57,0.41,-0.16,-0.49,0.365,0.125,-0.215,0.105,0.49,0.545,0.51,0.42
1501,0.628,0.451,-0.177,-0.539,0.402,0.136,-0.287,-0.016,0.444,0.508,0.559,0.477
1502,0.686,0.508,-0.178,-0.597,0.432,0.164,-0.357,-0.198,0.347,0.487,0.523,0.517
1503,0.666,0.441,-0.225,-0.554,0.446,0.108,-0.425,-0.411,0.167,0.38,0.452,0.506
1504,0.576,0.308,-0.268,-0.442,0.422,0.02,-0.499,-0.642,-0.067,0.182,0.396,0.459
1505,0.485,0.28,-0.205,-0.382,0.345,0.037,-0.575,-0.93,-0.27,0.04,0.335,0.425
1506,0.401,0.246,-0.155,-0.323,0.278,0.045,-0.628,-1.237,-0.41,-0.023,0.278,0.408
1507,0.314,0.201,-0.113,-0.258,0.213,0.044,-0.64,-1.353,-0.455,-0.078,0.233,0.393
1508,0.227,0.16,-0.067,-0.194,0.147,0.046,-0.644,-1.326,-0.502,-0.143,0.198,0.377
1509,0.153,0.12,-0.034,-0.136,0.094,0.043,-0.64,-1.287,-0.566,-0.205,0.159,0.362
1510,0.09,0.075,-0.015,-0.082,0.052,0.03,-0.6,-1.25,-0.575,-0.255,0.105,0.345
1511,0.021,0.029,0.008,-0.025,0.006,0.019,-0.564,-1.164,-0.559,-0.283,0.049,0.314
1512,0.001,-0.002,-0.003,0,0.002,-0.002,-0.529,-1.075,-0.547,-0.282,0.028,0.28
1513,0.008,-0.03,-0.037,0.011,0.023,-0.033,-0.504,-0.995,-0.512,-0.282,0.02,0.25
1514,0.002,-0.046,-0.048,0.022,0.025,-0.046,-0.467,-0.888,-0.458,-0.274,0.008,0.224
1515,-0.015,-0.035,-0.02,0.025,0.003,-0.027,-0.4,-0.74,-0.405,-0.23,0,0.2
1516,-0.027,-0.027,0,0.026,-0.013,-0.013,-0.339,-0.605,-0.323,-0.188,-0.012,0.179
1517,-0.041,-0.019,0.022,0.03,-0.031,0.001,-0.28,-0.496,-0.266,-0.163,-0.025,0.164
1518,-0.059,-0.011,0.048,0.035,-0.053,0.018,-0.22,-0.407,-0.221,-0.146,-0.034,0.142
1519,-0.063,-0.003,0.06,0.033,-0.062,0.028,-0.169,-0.325,-0.175,-0.132,-0.042,0.113
1520,-0.045,0.005,0.05,0.02,-0.048,0.027,-0.13,-0.25,-0.145,-0.125,-0.05,0.09
1521,-0.027,0.015,0.042,0.006,-0.035,0.028,-0.088,-0.197,-0.116,-0.117,-0.052,0.081
1522,-0.027,0.008,0.034,0.009,-0.031,0.021,-0.065,-0.147,-0.1,-0.109,-0.071,0.074
1523,-0.032,-0.007,0.026,0.019,-0.029,0.009,-0.054,-0.109,-0.09,-0.101,-0.081,0.066
1524,-0.036,-0.018,0.018,0.027,-0.027,0,-0.042,-0.083,-0.077,-0.093,-0.074,0.058
1525,-0.04,-0.03,0.01,0.035,-0.025,-0.01,-0.03,-0.055,-0.065,-0.085,-0.075,0.05
1526,-0.04,-0.04,0.001,0.04,-0.02,-0.019,-0.018,-0.027,-0.057,-0.081,-0.071,0.042
1527,-0.04,-0.035,0.005,0.038,-0.022,-0.015,-0.008,0.003,-0.049,-0.074,-0.07,0.037
1528,-0.039,-0.025,0.014,0.032,-0.026,-0.006,-0.003,0.021,-0.041,-0.067,-0.068,0.033
1529,-0.033,-0.019,0.014,0.026,-0.024,-0.002,0.002,0.026,-0.034,-0.064,-0.065,0.03
1530,-0.025,-0.015,0.01,0.02,-0.017,-0.002,0.01,0.03,-0.03,-0.06,-0.065,0.03
1531,-0.017,-0.007,0.009,0.012,-0.012,0.001,0.014,0.034,-0.022,-0.056,-0.061,0.03
1532,-0.01,0.001,0.011,0.005,-0.011,0.006,0.021,0.038,-0.013,-0.052,-0.06,0.03
1533,0.002,0.008,0.006,-0.005,-0.002,0.007,0.027,0.042,-0.008,-0.048,-0.058,0.03
1534,-0.009,0.009,0.018,0,-0.013,0.013,0.033,0.046,-0.004,-0.044,-0.055,0.029
1535,-0.055,0,0.055,0.027,-0.055,0.027,0.045,0.05,0,-0.04,-0.055,0.025
1536,-0.055,-0.006,0.049,0.03,-0.051,0.021,0.046,0.054,0,-0.04,-0.051,0.025
1537,-0.035,0.005,0.04,0.015,-0.038,0.022,0.045,0.055,-0.001,-0.041,-0.05,0.025
1538,-0.014,0.025,0.039,-0.006,-0.027,0.032,0.045,0.055,0.002,-0.038,-0.048,0.025
1539,0.002,0.035,0.033,-0.019,-0.016,0.034,0.045,0.055,0.005,-0.035,-0.045,0.025
1540,0.005,0.03,0.025,-0.018,-0.01,0.027,0.045,0.055,0.005,-0.035,-0.045,0.025
1541,0.009,0.03,0.021,-0.02,-0.006,0.025,0.045,0.055,0.005,-0.035,-0.043,0.025
1542,0.01,0.027,0.017,-0.018,-0.004,0.022,0.045,0.058,0.004,-0.032,-0.058,0.022
1543,0.013,0.025,0.013,-0.02,0,0.019,0.045,0.061,0.007,-0.029,-0.065,0.019
1544,0.013,0.023,0.01,-0.018,0.001,0.016,0.045,0.06,0.01,-0.03,-0.059,0.02
1545,0.01,0.02,0.01,-0.015,0,0.015,0.045,0.06,0.01,-0.03,-0.06,0.02
1546,0.034,0.041,0.007,-0.038,0.013,0.024,0.045,0.06,0.01,-0.026,-0.061,0.02
1547,0.043,0.044,0.001,-0.044,0.021,0.022,0.045,0.059,0.01,-0.024,-0.057,0.021
1548,0.021,0.039,0.018,-0.03,0.002,0.028,0.045,0.063,0.012,-0.026,-0.054,0.018
1549,-0.004,0.039,0.044,-0.018,-0.024,0.042,0.045,0.072,0.015,-0.024,-0.055,0.015
1550,-0.01,0.035,0.045,-0.013,-0.028,0.04,0.045,0.075,0.015,-0.02,-0.055,0.015
1551,-0.01,0.035,0.045,-0.013,-0.028,0.04,0.045,0.071,0.015,-0.02,-0.051,0.015
1552,-0.009,0.036,0.045,-0.014,-0.028,0.04,0.044,0.07,0.018,-0.021,-0.049,0.015
1553,-0.012,0.033,0.045,-0.011,-0.029,0.039,0.048,0.07,0.02,-0.018,-0.051,0.015
1554,-0.015,0.03,0.045,-0.008,-0.03,0.037,0.057,0.07,0.02,-0.015,-0.049,0.015
1555,-0.015,0.03,0.045,-0.008,-0.03,0.037,0.06,0.07,0.02,-0.015,-0.045,0.015
1556,-0.015,0.03,0.045,-0.008,-0.03,0.037,0.056,0.07,0.02,-0.015,-0.045,0.011
1557,-0.018,0.027,0.045,-0.005,-0.032,0.036,0.051,0.07,0.023,-0.018,-0.046,0.01
1558,-0.021,0.024,0.045,-0.002,-0.033,0.035,0.05,0.071,0.026,-0.021,-0.043,0.01
1559,-0.02,0.025,0.045,-0.003,-0.033,0.035,0.049,0.076,0.025,-0.02,-0.04,0.01
1560,-0.02,0.025,0.045,-0.003,-0.033,0.035,0.045,0.08,0.025,-0.02,-0.04,0.01
1561,-0.024,0.021,0.045,0.001,-0.035,0.032,0.045,0.076,0.025,-0.02,-0.04,0.01
1562,-0.025,0.02,0.045,0.002,-0.035,0.032,0.043,0.074,0.022,-0.02,-0.037,0.01
1563,-0.027,0.018,0.045,0.004,-0.036,0.031,0.037,0.076,0.019,-0.02,-0.034,0.01
1564,-0.031,0.014,0.045,0.008,-0.038,0.03,0.035,0.074,0.02,-0.021,-0.035,0.009
1565,-0.03,0.015,0.045,0.007,-0.038,0.03,0.035,0.07,0.02,-0.025,-0.035,0.005
1566,-0.03,0.015,0.045,0.007,-0.038,0.03,0.032,0.07,0.02,-0.026,-0.031,0.005
1567,-0.033,0.012,0.045,0.01,-0.039,0.028,0.026,0.067,0.017,-0.022,-0.03,0.005
1568,-0.036,0.009,0.045,0.013,-0.04,0.027,0.043,0.081,0.014,-0.02,-0.03,0.005
1569,-0.035,0.01,0.045,0.012,-0.04,0.027,0.069,0.103,0.015,-0.02,-0.03,0.005
1570,-0.035,0.01,0.045,0.012,-0.04,0.027,0.07,0.105,0.015,-0.02,-0.03,0.005
1571,-0.039,0.006,0.045,0.016,-0.043,0.025,0.068,0.105,0.015,-0.02,-0.026,0.005
1572,-0.04,0.005,0.045,0.017,-0.043,0.025,0.083,0.105,0.016,-0.02,-0.025,0.006
1573,-0.041,0.004,0.045,0.018,-0.043,0.025,0.09,0.105,0.013,-0.02,-0.025,0.003
1574,-0.038,0.007,0.045,0.015,-0.042,0.026,0.084,0.106,0.01,-0.02,-0.025,0
1575,-0.03,0.015,0.045,0.007,-0.038,0.03,0.085,0.11,0.01,-0.02,-0.025,0
1576,-0.028,0.018,0.045,0.004,-0.037,0.031,0.085,0.11,0.01,-0.016,-0.025,0
1577,-0.009,0.033,0.042,-0.012,-0.026,0.038,0.085,0.11,0.011,-0.015,-0.025,0
1578,0.003,0.04,0.037,-0.022,-0.018,0.039,0.085,0.11,0.008,-0.015,-0.025,0
1579,-0.001,0.034,0.035,-0.017,-0.018,0.035,0.085,0.11,0.005,-0.015,-0.025,0
1580,0,0.035,0.035,-0.018,-0.018,0.035,0.085,0.11,0.005,-0.015,-0.025,0
1581,0.004,0.035,0.031,-0.02,-0.014,0.033,0.085,0.114,0.005,-0.015,-0.025,0
1582,0.005,0.035,0.03,-0.02,-0.013,0.032,0.085,0.115,0.005,-0.015,-0.025,-0.001
1583,0.006,0.035,0.029,-0.021,-0.012,0.032,0.085,0.115,0.004,-0.015,-0.025,0.002
1584,0.011,0.035,0.024,-0.024,-0.007,0.029,0.085,0.115,0.007,-0.014,-0.024,0.005
1585,0.015,0.035,0.02,-0.025,-0.003,0.027,0.085,0.115,0.015,-0.01,-0.02,0.005
1586,0.015,0.035,0.02,-0.025,-0.003,0.027,0.085,0.115,0.019,-0.01,-0.02,0.005
1587,0.015,0.032,0.017,-0.024,-0.001,0.024,0.082,0.118,0.026,-0.01,-0.02,0.008
1588,0.014,0.029,0.015,-0.022,0,0.022,0.079,0.122,0.032,-0.01,-0.02,0.01
1589,0.016,0.03,0.014,-0.024,0.001,0.021,0.08,0.125,0.036,-0.01,-0.02,0.01
1590,0.025,0.03,0.005,-0.028,0.01,0.017,0.08,0.125,0.04,-0.01,-0.02,0.01
1591,0.033,0.03,-0.003,-0.031,0.018,0.013,0.08,0.125,0.04,-0.01,-0.02,0.01
1592,0.041,0.03,-0.011,-0.035,0.026,0.009,0.08,0.128,0.04,-0.01,-0.02,0.013
1593,0.048,0.03,-0.019,-0.039,0.033,0.005,0.08,0.131,0.04,-0.01,-0.02,0.016
1594,0.049,0.03,-0.019,-0.04,0.034,0.006,0.08,0.13,0.04,-0.009,-0.02,0.015
1595,0.04,0.03,-0.01,-0.035,0.025,0.01,0.08,0.13,0.04,-0.005,-0.02,0.015
1596,0.032,0.026,-0.006,-0.028,0.018,0.01,0.08,0.13,0.04,-0.005,-0.02,0.015
1597,0.027,0.025,-0.002,-0.025,0.014,0.011,0.08,0.13,0.04,-0.006,-0.021,0.018
1598,0.023,0.025,0.002,-0.024,0.01,0.013,0.08,0.132,0.04,-0.003,-0.018,0.021
1599,0.019,0.025,0.006,-0.022,0.006,0.015,0.08,0.145,0.04,0,-0.015,0.02
1600,0.015,0.025,0.01,-0.02,0.002,0.017,0.08,0.165,0.04,0,-0.015,0.02
1601,0.01,0.025,0.015,-0.018,-0.003,0.02,0.088,0.17,0.04,0,-0.011,0.024
1602,0.014,0.025,0.011,-0.02,0.001,0.018,0.094,0.172,0.04,0,-0.009,0.025
1603,0.027,0.025,-0.002,-0.026,0.014,0.011,0.093,0.178,0.04,0.002,-0.011,0.025
1604,0.018,0.025,0.007,-0.022,0.005,0.015,0.089,0.18,0.04,0.005,-0.009,0.025
1605,-0.015,0.025,0.04,-0.005,-0.028,0.032,0.09,0.18,0.04,0.005,-0.005,0.025
1606,-0.011,0.027,0.038,-0.009,-0.024,0.032,0.09,0.18,0.04,0.005,-0.005,0.029
1607,0.015,0.046,0.031,-0.031,-0.008,0.039,0.087,0.178,0.038,0.008,-0.002,0.03
1608,0.044,0.072,0.028,-0.058,0.008,0.05,0.084,0.188,0.047,0.01,0.001,0.03
1609,0.062,0.087,0.025,-0.075,0.018,0.056,0.086,0.201,0.062,0.01,0,0.03
1610,0.065,0.09,0.025,-0.078,0.02,0.057,0.085,0.19,0.065,0.01,0,0.03
1611,0.072,0.093,0.021,-0.083,0.025,0.057,0.07,0.183,0.069,0.008,0.008,0.038
1612,0.083,0.1,0.016,-0.092,0.033,0.058,0.09,0.202,0.074,0.024,0.016,0.043
1613,0.082,0.097,0.015,-0.09,0.033,0.055,0.111,0.222,0.074,0.044,0.024,0.049
1614,0.093,0.107,0.014,-0.1,0.039,0.06,0.118,0.234,0.078,0.059,0.032,0.064
1615,0.135,0.145,0.01,-0.14,0.062,0.077,0.135,0.25,0.095,0.075,0.04,0.08
1616,0.144,0.151,0.007,-0.148,0.068,0.079,0.132,0.255,0.1,0.076,0.048,0.085
1617,0.152,0.149,-0.002,-0.151,0.077,0.073,0.126,0.254,0.099,0.075,0.056,0.084
1618,0.12,0.15,0.03,-0.135,0.045,0.09,0.125,0.257,0.102,0.075,0.063,0.087
1619,0.075,0.15,0.075,-0.113,0,0.112,0.124,0.26,0.105,0.075,0.066,0.09
1620,0.085,0.15,0.065,-0.118,0.01,0.107,0.12,0.26,0.105,0.075,0.07,0.09
1621,0.086,0.15,0.064,-0.118,0.011,0.106,0.115,0.264,0.113,0.083,0.078,0.094
1622,0.088,0.153,0.066,-0.121,0.011,0.109,0.115,0.269,0.119,0.091,0.084,0.095
1623,0.091,0.155,0.065,-0.124,0.012,0.11,0.113,0.269,0.12,0.099,0.085,0.098
1624,0.09,0.155,0.065,-0.123,0.012,0.11,0.11,0.273,0.129,0.107,0.094,0.107
1625,0.09,0.155,0.065,-0.123,0.012,0.11,0.11,0.29,0.145,0.11,0.11,0.11
1626,0.088,0.153,0.065,-0.121,0.011,0.109,0.106,0.287,0.143,0.11,0.111,0.114
1627,0.097,0.162,0.065,-0.13,0.016,0.114,0.105,0.28,0.134,0.113,0.11,0.12
